Reservoir;Site;DataStream; TIMESTAMP_start; TIMESTAMP_end; start_parameter; end_parameter; flag;update_value;adjustment_code; notes
CCR;51;CCRW; 2022-01-26 16:50:00 EST; 2022-01-26 17:40:00 EST; EXOTemp_C_1; EXOWiper_V_1;1;NA;NA; 1m EXO was up for maintenance and data download
CCR;51;CCRW; 2022-01-26 17:10:00 EST; 2022-04-20 15:10:00 EST; EXOTemp_C_9; EXOWiper_V_9;1;NA;NA; 9m EXO removed for service
CCR;51;CCRW; 2022-02-09 09:50:00 EST; 2022-02-09 10:20:00 EST; EXOTemp_C_1; EXOWiper_V_1;1;NA;NA; 1m EXO was up for maintenance and data download
CCR;51;CCRW; 2022-04-20 12:50:00 EST; 2022-04-20 13:50:00 EST; EXOTemp_C_9; EXOWiper_V_9;1;NA;NA; 9m EXO bad data 
CCR;51;CCRW; 2022-05-12 09:00:00 EST; 2022-05-12 09:30:00 EST; EXOTemp_C_1; EXOWiper_V_9;1;NA;NA; EXOs were up for maintenance 
CCR;51;CCRW; 2022-08-27 09:10:00 EST; 2022-08-27 09:30:00 EST; EXOTemp_C_9; EXOWiper_V_9;1;NA;NA; 9m EXO was up for maintenance 
CCR;51;CCRW; 2022-09-12 10:10:00 EST; 2022-09-12 11:20:00 EST; ThermistorTemp_C_1; ThermistorTemp_C_13;1;NA;NA; temp string pulled up for cleaning and inspection
CCR;51;CCRW; 2022-09-12 10:10:00 EST; 2022-09-12 11:20:00 EST; LvlPressure_psi_13; LvlTemp_C_13;1;NA;NA; temp string pulled up for cleaning and inspection
CCR;51;CCRW; 2022-09-12 12:30:00 EST; 2022-09-12 13:00:00 EST; EXOTemp_C_1; EXOWiper_V_1;1;NA;NA; 1m EXO was up for maintenance 
CCR;51;CCRW; 2022-09-12 11:10:00 EST; 2022-09-12 11:30:00 EST; EXOTemp_C_9; EXOWiper_V_9;1;NA;NA; 9m EXO was up for maintenance 
CCR;51;CCRW; 2022-10-04 01:00:00 EST; 2022-10-04 01:00:00 EST; ThermistorTemp_C_1;  EXOWiper_V_9;1;NA;NA; power issue leading to bad data
CCR;51;CCRW; 2022-10-04 03:00:00 EST; 2022-10-04 03:00:00 EST; ThermistorTemp_C_1;  EXOWiper_V_9;1;NA;NA; power issue leading to bad data  
CCR;51;CCRW; 2022-10-04 06:50:00 EST; 2022-10-04 06:50:00 EST; ThermistorTemp_C_1;  EXOWiper_V_9;1;NA;NA; power issue leading to bad data
CCR;51;CCRW; 2022-10-17 17:40:00 EST; 2022-10-17 17:40:00 EST; ThermistorTemp_C_1;  EXOWiper_V_9;1;NA;NA; power issue leading to bad data
CCR;51;CCRW; 2022-10-18 03:20:00 EST; 2022-10-18 03:20:00 EST; ThermistorTemp_C_1;  EXOWiper_V_9;1;NA;NA; power issue leading to bad data
CCR;51;CCRW; 2022-12-12 13:20:00 EST; 2022-12-16 14:20:00 EST; EXOTemp_C_1; EXOWiper_V_9;1;NA;NA; EXOs removed for maintenance and calibration
CCR;51;CCRW; 2022-12-16 14:30:00 EST; 2023-03-13 14:45:00 EST; EXOTemp_C_1; EXOWiper_V_1;7;NA;NA; 1m EXO2 was moved to FCR while that EXO is sent for maintenance
CCR;51;CCRW; 2023-03-13 14:45:00 EST; 2023-03-13 14:55:00 EST; EXOTemp_C_1; EXOWiper_V_1;1;NA;NA; 1m EXO2 redeployed at CCR
CCR;51;CCRW; 2023-03-21 15:05:00 EST; 2023-03-21 15:10:00 EST; EXOTemp_C_1; EXOWiper_V_9;1;NA;NA; Both EXOs up for cleaning
CCR;51;CCRW; 2023-04-16 16:25:00 EST; 2023-04-16 16:35:00 EST; EXOfDOM_RFU_9; EXOfDOM_QSU_9;2;NA;NA; high fDOM value. Removed
CCR;51;CCRW; 2023-04-18 08:45:00 EST; 2023-04-18 08:55:00 EST; EXOfDOM_RFU_9; EXOfDOM_QSU_9;2;NA;NA; high fDOM value. Removed
CCR;51;CCRW; 2023-05-04 18:15:00 EST; 2023-05-10 14:55:00 EST; EXOTemp_C_9; EXOWiper_V_9;2;NA;NA; 9m EXO3 malfunction
CCR;51;CCRW; 2023-05-08 16:05:00 EST; 2023-05-08 16:15:00 EST; EXOTemp_C_1; EXOWiper_V_1;2;NA;NA; 1m EXO2 out of position
CCR;51;CCRW; 2023-05-10 12:35:00 EST; 2023-05-10 12:45:00 EST; EXOTemp_C_1; EXOWiper_V_1;1;NA;NA; 1m EXO2 up for maintenance
CCR;51;CCRW; 2023-05-10 15:15:00 EST; 2023-05-10 15:45:00 EST; EXOTemp_C_9; EXOWiper_V_9;1;NA;NA; 9m EXO3 up for maintenance and cleaning
CCR;51;CCRW; 2023-05-20 20:00:00 EST; 2023-06-07 12:05:00 EST; EXOfDOM_RFU_9; EXOfDOM_QSU_9;2;NA;NA; Bad fdom reading probably due to EXO3 wiper over sensor during reading take out readings below 5
CCR;51;CCRW; 2023-06-05 04:25:00 EST; 2023-06-05 04:35:00 EST; EXOTemp_C_1; EXOWiper_V_1;2;NA;NA; EXO2 out of position-remove value
CCR;51;CCRW; 2023-06-09 04:25:00 EST; 2023-06-09 04:35:00 EST; EXOTemp_C_1; EXOWiper_V_1;2;NA;NA; EXO2 out of position-remove value
CCR;51;CCRW; 2023-06-10 04:25:00 EST; 2023-06-10 04:35:00 EST; EXOTemp_C_1; EXOWiper_V_1;2;NA;NA; EXO2 out of position-remove value
CCR;51;CCRW; 2023-06-14 04:25:00 EST; 2023-06-14 04:35:00 EST; EXOTemp_C_1; EXOWiper_V_1;2;NA;NA; EXO2 out of position-remove value
CCR;51;CCRW; 2023-06-15 04:25:00 EST; 2023-06-15 04:35:00 EST; EXOTemp_C_1; EXOWiper_V_1;2;NA;NA; EXO2 out of position-remove value
CCR;51;CCRW; 2023-06-07 10:25:00 EST; 2023-06-07 12:05:00 EST; EXOTemp_C_1; EXOWiper_V_9;1;NA;NA; 1m and 9m EXO up for cleaning
CCR;51;CCRW; 2023-06-27 12:15:00 EST; 2023-06-27 12:25:00 EST; EXOTemp_C_1; EXOWiper_V_1;1;NA;NA; 1m EXO2 up for maintenance and cleaning
CCR;51;CCRW; 2023-07-04 12:05:00 EST; 2023-07-04 12:15:00 EST; EXOfDOM_RFU_9; EXOfDOM_QSU_9;2;NA;NA; high fDOM value. Removed
CCR;51;CCRW; 2023-07-05 01:25:00 EST; 2023-07-05 01:35:00 EST; EXOTemp_C_1; EXOWiper_V_1;2;NA;NA; 1m EXO2 out of position
CCR;51;CCRW; 2023-07-19 17:55:00 EST; 2023-07-19 18:05:00 EST; EXOTemp_C_1; EXOWiper_V_1;2;NA;NA; 1m EXO2 out of position
